2,2,108,1.0,54.0
2,14,756,7.0,378.0
2,2,108,1.0,54.0
2,15,798,7.5,399.0
2,2,108,1.0,54.0
2,16,840,8.0,420.0
2,2,108,1.0,54.0
2,14,756,7.0,378.0
2,2,108,1.0,54.0
2,15,798,7.5,399.0
2,2,108,1.0,54.0
2,15,798,7.5,399.0
2,2,108,1.0,54.0
2,15,798,7.5,399.0
2,2,108,1.0,54.0
2,14,756,7.0,378.0
2,2,108,1.0,54.0
2,1,54,0.5,27.0
2,15,810,7.5,405.0
2,1,54,0.5,27.0
2,17,894,8.5,447.0
2,1,54,0.5,27.0
2,15,810,7.5,405.0
2,1,54,0.5,27.0
2,17,894,8.5,447.0
2,1,54,0.5,27.0
2,15,810,7.5,405.0
2,1,54,0.5,27.0
2,1,54,0.5,27.0
0,12,636,12,636
0,1,54,1,54
2,-1,-54,-0.5,-27.0
0,1,54,1,54
0,-1,-54,-1,-54
2,1,54,0.5,27.0
2,16,852,8.0,426.0
2,1,54,0.5,27.0
0,-1,-54,-1,-54
0,1,54,1,54
2,17,918,8.5,459.0
2,-1,-54,-0.5,-27.0
0,15,810,15,810
0,1,54,1,54
0,17,918,17,918
0,-1,-54,-1,-54
2,15,810,7.5,405.0
2,1,54,0.5,27.0
2,15,810,7.5,405.0
2,1,54,0.5,27.0
0,-1,-54,-1,-54
0,1,54,1,54
2,17,918,8.5,459.0
2,-1,-54,-0.5,-27.0
0,15,810,15,810
0,1,54,1,54
0,17,918,17,918
0,-1,-54,-1,-54
2,15,810,7.5,405.0
2,1,54,0.5,27.0
2,15,810,7.5,405.0
2,1,54,0.5,27.0
0,-1,-54,-1,-54
0,1,54,1,54
2,19,1002,9.5,501.0
2,-1,-54,-0.5,-27.0
0,17,894,17,894
0,1,54,1,54
0,19,1002,19,1002
0,-1,-54,-1,-54
2,17,894,8.5,447.0
2,1,54,0.5,27.0
2,17,894,8.5,447.0
2,1,54,0.5,27.0
0,-1,-54,-1,-54
0,1,54,1,54
2,17,918,8.5,459.0
2,-1,-54,-0.5,-27.0
0,15,810,15,810
0,1,54,1,54
0,17,918,17,918
0,-1,-54,-1,-54
2,15,810,7.5,405.0
2,1,54,0.5,27.0
2,15,810,7.5,405.0
2,1,54,0.5,27.0
0,-1,-54,-1,-54
0,1,54,1,54
2,17,918,8.5,459.0
2,-1,-54,-0.5,-27.0
0,15,810,15,810
0,1,54,1,54
0,17,918,17,918
0,-1,-54,-1,-54
2,15,810,7.5,405.0
2,1,54,0.5,27.0
2,16,852,8.0,426.0
2,1,54,0.5,27.0
0,-1,-54,-1,-54
0,1,54,1,54
2,13,678,6.5,339.0
2,-1,-54,-0.5,-27.0
2,10,516,5.0,258.0
2,-96,-5136,-48.0,-2568.0
2,97,5190,48.5,2595.0
2,-98,-5244,-49.0,-2622.0
-2,10,516,-5.0,-258.0
-2,-1,-54,0.5,27.0
4,-87,-4674,-21.75,-1168.5
4,1,54,0.25,13.5
4,91,4866,22.75,1216.5
4,1,54,0.25,13.5
2,1,42,0.5,21.0
2,1,54,0.5,27.0
2,-1,-54,-0.5,-27.0
2,1,54,0.5,27.0
2,-90,-4800,-45.0,-2400.0
2,1,54,0.5,27.0
2,1,54,0.5,27.0
2,-1,-54,-0.5,-27.0
2,97,5190,48.5,2595.0
2,-80,-4272,-40.0,-2136.0
2,81,4326,40.5,2163.0
2,-82,-4380,-41.0,-2190.0
-2,1,54,-0.5,-27.0
-2,-1,-54,0.5,27.0
4,-77,-4110,-19.25,-1027.5
4,1,54,0.25,13.5
4,75,4002,18.75,1000.5
4,1,54,0.25,13.5
2,-1,-54,-0.5,-27.0
2,1,54,0.5,27.0
2,88,4692,44.0,2346.0
2,1,54,0.5,27.0
2,-74,-3936,-37.0,-1968.0
2,1,54,0.5,27.0
2,1,54,0.5,27.0
2,-1,-54,-0.5,-27.0
2,81,4326,40.5,2163.0
2,-64,-3408,-32.0,-1704.0
2,65,3462,32.5,1731.0
2,-66,-3516,-33.0,-1758.0
-2,1,54,-0.5,-27.0
-2,-1,-54,0.5,27.0
4,-60,-3204,-15.0,-801.0
4,1,54,0.25,13.5
4,58,3096,14.5,774.0
4,1,54,0.25,13.5
2,-1,-54,-0.5,-27.0
2,1,54,0.5,27.0
2,72,3828,36.0,1914.0
2,1,54,0.5,27.0
2,-57,-3030,-28.5,-1515.0
2,1,54,0.5,27.0
2,1,54,0.5,27.0
2,-1,-54,-0.5,-27.0
2,65,3462,32.5,1731.0
2,-46,-2460,-23.0,-1230.0
2,47,2514,23.5,1257.0
2,-48,-2568,-24.0,-1284.0
-2,1,54,-0.5,-27.0
-2,-1,-54,0.5,27.0
4,-43,-2298,-10.75,-574.5
4,1,54,0.25,13.5
4,41,2190,10.25,547.5
4,1,54,0.25,13.5
2,-1,-54,-0.5,-27.0
2,1,54,0.5,27.0
2,55,2922,27.5,1461.0
2,1,54,0.5,27.0
2,-40,-2124,-20.0,-1062.0
2,1,54,0.5,27.0
2,1,54,0.5,27.0
2,-1,-54,-0.5,-27.0
2,47,2514,23.5,1257.0
2,-30,-1596,-15.0,-798.0
2,31,1650,15.5,825.0
2,-32,-1704,-16.0,-852.0
-2,1,54,-0.5,-27.0
-2,-1,-54,0.5,27.0
4,-27,-1434,-6.75,-358.5
4,1,54,0.25,13.5
4,25,1326,6.25,331.5
4,1,54,0.25,13.5
2,-1,-54,-0.5,-27.0
2,1,54,0.5,27.0
2,38,2016,19.0,1008.0
2,1,54,0.5,27.0
2,-24,-1260,-12.0,-630.0
2,1,54,0.5,27.0
